epoch,train_loss,train_loss_san,train_loss_class,dev_em,dev_f1,dev_acc,train_em,train_f1,train_acc
0,22941.35187101364,22941.35187101364,0.0,14.587720037058872,16.68976931371591,-1,17.668183457515788,21.442639039322682,-1
1,17091.348552823067,17091.348552823067,0.0,15.86793565232039,17.12487821937836,-1,20.18892103223628,23.144236038706815,-1
2,15394.9302983284,15394.9302983284,0.0,30.07664448749263,34.296526012054606,-1,34.12012062707664,42.08601030138895,-1
3,14435.166193246841,14435.166193246841,0.0,24.484123641876526,27.02467897345885,-1,29.382515212670448,34.892320007547724,-1
4,13816.7403049469,13816.7403049469,0.0,28.897498526067547,31.99040775243733,-1,34.173067626363,40.87993978102003,-1
5,13292.117630124092,13292.117630124092,0.0,28.1900109492125,31.039097141283694,-1,34.505329230580344,40.89860535498085,-1
6,12876.166374921799,12876.166374921799,0.0,24.197759622673292,26.26120359711405,-1,31.41982366347194,36.677249533576926,-1
7,12541.71155679226,12541.71155679226,0.0,28.30792554535501,31.550335662183258,-1,35.67706934522211,42.45157956969374,-1
3,14174.913276791573,14174.913276791573,0.0,28.998568179903984,32.58700932714139,-1,34.1178185836294,41.50790769902541,-1
8,12228.30296254158,12228.30296254158,0.0,31.685336477722565,35.30819733145183,-1,39.1025099947053,46.76976800732456,-1
9,11601.967748641968,11601.967748641968,0.0,28.223700833824644,30.911012118035103,-1,36.801233895287716,42.993163331020035,-1
10,11118.19736725092,11118.19736725092,0.0,33.61408237176788,37.642381746337385,-1,41.38230035528204,49.51973091195749,-1
11,10674.224244356155,10674.224244356155,0.0,28.080518824223027,31.008894495237154,-1,37.28543036702246,43.59464582497961,-1
12,10321.148014903069,10321.148014903069,0.0,30.624105112439988,33.834758679622965,-1,39.94889463547142,46.908365805451844,-1
13,9971.206633388996,9971.206633388996,0.0,30.80939947780679,33.95126986907444,-1,40.517499366938054,47.38634804851491,-1
14,9691.93007171154,9691.93007171154,0.0,27.954181756927483,30.833536126376337,-1,38.592991045050994,44.76135746493057,-1
15,9482.601085543633,9482.601085543633,0.0,30.413543333614083,34.0320462868642,-1,41.149026619295725,48.410840036096666,-1
16,10927.929089963436,10927.929089963436,0.0,33.03293186220837,36.84899392094451,-1,43.318318894405266,51.01249749383423,-1
17,10699.988308608532,10699.988308608532,0.0,31.407394929672368,34.65677076381781,-1,41.92481526101336,48.85481437201645,-1
18,10230.953957021236,10230.953957021236,0.0,31.836940958477218,35.3433722881369,-1,43.24311880846231,50.3022804169122,-1
19,9975.361706733704,9975.361706733704,0.0,32.628653246862626,36.29149408821546,-1,44.45783040078577,51.71328907971515,-1
20,8970.71676248312,8970.71676248312,0.0,32.982397035290155,36.854467041868155,-1,44.88370843852393,52.38044052088959,-1
21,8607.00149744749,8607.00149744749,0.0,29.613408574075635,32.84757932462002,-1,42.91929803021816,49.39912528557094,-1
